time ,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
0.002,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
0.004,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
0.006,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
0.008,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
0.01,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
0.012,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.036,-0.005,-0.031,-0.035,-0.075
0.014,-0.117,-0.051,0.066,0.083,-0.092,0.007,-0.062,-0.035,-0.005,-0.03,-0.032,-0.072
0.016,-0.109,-0.048,0.061,0.078,-0.085,0.006,-0.059,-0.035,-0.005,-0.03,-0.029,-0.069
0.018,-0.108,-0.045,0.064,0.076,-0.086,0.009,-0.06,-0.035,-0.006,-0.03,-0.03,-0.07
0.02,-0.13,-0.045,0.085,0.087,-0.107,0.02,-0.06,-0.035,-0.01,-0.03,-0.03,-0.07
0.022,-0.127,-0.045,0.082,0.086,-0.104,0.018,-0.056,-0.035,-0.01,-0.026,-0.03,-0.07
0.024,-0.121,-0.042,0.079,0.081,-0.1,0.018,-0.054,-0.036,-0.009,-0.025,-0.027,-0.067
0.026,-0.12,-0.039,0.08,0.079,-0.1,0.021,-0.056,-0.033,-0.012,-0.025,-0.024,-0.064
0.028,-0.12,-0.04,0.08,0.08,-0.1,0.02,-0.054,-0.03,-0.015,-0.025,-0.025,-0.065
0.03,-0.12,-0.04,0.08,0.08,-0.1,0.02,-0.05,-0.03,-0.015,-0.025,-0.025,-0.065
0.032,-0.112,-0.036,0.076,0.073,-0.093,0.02,-0.05,-0.03,-0.015,-0.025,-0.021,-0.065
0.034,-0.109,-0.034,0.075,0.071,-0.091,0.02,-0.051,-0.03,-0.014,-0.022,-0.02,-0.062
0.036,-0.111,-0.036,0.075,0.073,-0.092,0.02,-0.048,-0.03,-0.017,-0.019,-0.02,-0.059
0.038,-0.109,-0.034,0.075,0.071,-0.092,0.02,-0.045,-0.03,-0.02,-0.02,-0.02,-0.06
0.04,-0.105,-0.03,0.075,0.067,-0.09,0.022,-0.045,-0.03,-0.02,-0.02,-0.02,-0.06
0.042,-0.105,-0.03,0.075,0.067,-0.09,0.022,-0.045,-0.026,-0.02,-0.02,-0.016,-0.056
0.044,-0.103,-0.031,0.072,0.066,-0.087,0.02,-0.042,-0.025,-0.02,-0.017,-0.015,-0.055
0.046,-0.098,-0.028,0.069,0.063,-0.083,0.021,-0.039,-0.025,-0.018,-0.014,-0.015,-0.055
0.048,-0.095,-0.025,0.07,0.06,-0.082,0.022,-0.04,-0.025,-0.014,-0.015,-0.015,-0.055
0.05,-0.095,-0.025,0.07,0.06,-0.082,0.022,-0.04,-0.025,-0.01,-0.015,-0.015,-0.055
0.052,-0.095,-0.025,0.07,0.06,-0.082,0.022,-0.036,-0.025,-0.006,-0.015,-0.011,-0.051
0.054,-0.093,-0.025,0.068,0.059,-0.08,0.021,-0.035,-0.025,-0.005,-0.016,-0.009,-0.05
0.056,-0.101,-0.023,0.078,0.062,-0.089,0.027,-0.033,-0.023,-0.004,-0.013,-0.011,-0.05
0.058,-0.12,-0.019,0.101,0.069,-0.11,0.04,-0.029,-0.019,0.001,-0.01,-0.009,-0.05
0.06,-0.13,-0.015,0.115,0.072,-0.122,0.05,-0.03,-0.015,0.005,-0.01,-0.005,-0.05
0.062,-0.122,-0.011,0.111,0.067,-0.117,0.05,-0.03,-0.011,0.005,-0.006,-0.005,-0.046
0.064,-0.117,-0.007,0.11,0.062,-0.113,0.051,-0.027,-0.007,0.007,-0.005,-0.005,-0.045
0.066,-0.111,-0.002,0.108,0.056,-0.109,0.052,-0.024,-0.003,0.013,-0.003,-0.005,-0.045
0.068,-0.105,0.0,0.105,0.052,-0.105,0.052,-0.025,0.0,0.015,0.001,-0.004,-0.045
0.07,-0.105,0.0,0.105,0.052,-0.105,0.052,-0.025,0.0,0.015,0.0,0.0,-0.045
0.072,-0.093,0.008,0.101,0.043,-0.097,0.054,-0.021,0.004,0.019,-0.001,0.0,-0.041
0.074,-0.084,0.016,0.1,0.034,-0.092,0.058,-0.019,0.009,0.02,0.003,-0.001,-0.04
0.076,-0.074,0.024,0.098,0.025,-0.086,0.061,-0.021,0.01,0.02,0.005,0.002,-0.04
0.078,-0.063,0.032,0.095,0.015,-0.079,0.063,-0.019,0.011,0.02,0.006,0.005,-0.04
0.08,-0.055,0.04,0.095,0.007,-0.075,0.067,-0.015,0.015,0.02,0.01,0.005,-0.04
0.082,-0.043,0.048,0.091,-0.003,-0.067,0.069,-0.015,0.019,0.02,0.01,0.005,-0.036
0.084,-0.036,0.054,0.09,-0.009,-0.063,0.072,-0.014,0.021,0.02,0.013,0.004,-0.035
0.086,-0.035,0.054,0.089,-0.01,-0.062,0.071,-0.02,0.018,0.02,0.016,0.007,-0.035
0.088,-0.035,0.049,0.084,-0.007,-0.059,0.066,-0.033,0.014,0.02,0.014,0.01,-0.035
0.09,-0.035,0.045,0.08,-0.005,-0.058,0.062,-0.045,0.01,0.02,0.015,0.01,-0.035
0.092,-0.039,0.041,0.08,-0.001,-0.06,0.061,-0.057,0.01,0.02,0.023,0.01,-0.035
0.094,-0.04,0.037,0.077,0.001,-0.059,0.057,-0.071,0.007,0.022,0.028,0.009,-0.032
0.096,-0.041,0.034,0.075,0.003,-0.058,0.054,-0.074,0.003,0.015,0.032,0.013,-0.029
0.098,-0.047,0.028,0.075,0.009,-0.061,0.05,-0.069,-0.001,0.021,0.036,0.022,-0.03
0.1,-0.045,0.025,0.07,0.01,-0.058,0.047,-0.07,0.0,0.055,0.04,0.025,-0.03
0.102,-0.015,0.05,0.066,-0.018,-0.041,0.058,-0.07,0.008,0.053,0.044,0.029,-0.03
0.104,-0.011,0.054,0.065,-0.022,-0.038,0.059,-0.07,0.014,0.048,0.045,0.033,-0.027
0.106,-0.029,0.036,0.065,-0.004,-0.047,0.051,-0.07,0.017,0.051,0.045,0.037,-0.024
0.108,-0.007,0.049,0.057,-0.021,-0.032,0.053,-0.069,0.021,0.049,0.045,0.041,-0.025
0.11,0.035,0.095,0.06,-0.065,-0.013,0.077,-0.065,0.025,0.045,0.045,0.045,-0.025
0.112,-0.027,0.09,0.116,-0.032,-0.072,0.103,-0.065,0.021,0.045,0.045,0.041,-0.025
0.114,-0.037,0.078,0.114,-0.021,-0.076,0.096,-0.065,0.016,0.046,0.045,0.039,-0.025
0.116,-0.01,0.071,0.081,-0.031,-0.046,0.076,-0.065,0.015,0.043,0.045,0.04,-0.023
0.118,-0.004,0.063,0.067,-0.029,-0.036,0.065,-0.065,0.014,0.04,0.045,0.04,-0.019
0.12,0.005,0.055,0.05,-0.03,-0.023,0.052,-0.065,0.01,0.04,0.045,0.04,-0.015
0.122,0.02,0.047,0.027,-0.033,-0.004,0.036,-0.065,0.005,0.04,0.045,0.04,-0.011
0.124,-0.028,0.041,0.069,-0.007,-0.049,0.055,-0.062,0.006,0.041,0.046,0.041,-0.008
