I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.018,0.017,-0.002,-0.018,0.01,0.007,0.01,0.035,0.08,0.059,0.039,0.025
0.006,0.01,0.003,-0.008,0.002,0.007,0.009,0.034,0.078,0.059,0.04,0.025
0.029,0.04,0.011,-0.035,0.009,0.026,0.011,0.036,0.08,0.06,0.041,0.026
-0.026,-0.031,-0.005,0.029,-0.01,-0.018,0.008,0.032,0.078,0.062,0.04,0.024
-0.011,-0.014,-0.003,0.012,-0.004,-0.008,0.013,0.038,0.081,0.069,0.042,0.027
0.016,-0.001,-0.017,-0.008,0.017,-0.009,0.036,0.054,0.09,0.06,0.036,0.023
-0.015,-0.025,-0.01,0.02,-0.002,-0.017,0.04,0.054,0.096,0.078,0.056,0.023
0.003,0.014,0.011,-0.009,-0.004,0.013,0.042,0.058,0.11,0.073,0.044,0.016
0.0,0.023,0.023,-0.012,-0.012,0.023,0.036,0.045,0.106,0.072,0.055,0.028
0.015,0.039,0.024,-0.027,-0.005,0.031,0.047,0.058,0.117,0.085,0.062,0.051
0.006,0.039,0.033,-0.023,-0.013,0.036,0.03,0.041,0.1,0.091,0.066,0.057
0.01,0.045,0.035,-0.028,-0.012,0.04,0.095,0.072,0.133,0.108,0.069,0.061
0.007,0.055,0.048,-0.031,-0.021,0.051,0.11,0.088,0.141,0.099,0.073,0.055
-0.005,0.032,0.037,-0.013,-0.022,0.034,0.024,0.11,0.162,0.15,0.109,0.06
0.021,0.06,0.039,-0.041,-0.009,0.049,0.018,0.083,0.12,0.088,0.065,0.067
0.006,0.05,0.044,-0.028,-0.019,0.047,0.035,0.111,0.201,0.266,0.175,0.076
0.058,0.126,0.068,-0.092,-0.005,0.097,0.009,0.007,-0.014,0.434,0.484,0.199
0.26,0.41,0.15,-0.336,0.055,0.28,-0.696,-1.333,-1.67,0.203,1.553,0.846
0.691,0.306,-0.385,-0.498,0.538,-0.04,-1.373,-2.091,-2.734,-0.865,1.518,1.245
0.676,0.139,-0.537,-0.407,0.606,-0.199,-1.281,-1.772,-2.527,-2.407,-0.444,0.676
0.147,0.094,-0.053,-0.12,0.1,0.02,-0.8,-1.403,-1.761,-1.881,-0.927,0.115
-0.029,-0.149,-0.119,0.089,0.045,-0.134,-0.132,-0.378,-0.382,-0.429,-0.34,-0.084
-0.031,-0.1,-0.069,0.065,0.019,-0.084,0.061,0.058,0.113,-0.003,-0.124,-0.067
-0.068,-0.051,0.017,0.06,-0.043,-0.016,0.058,0.027,0.126,0.096,-0.028,-0.042
-0.078,-0.083,-0.004,0.08,-0.037,-0.043,0.103,0.118,0.21,0.092,-0.075,-0.085
-0.091,-0.057,0.034,0.074,-0.062,-0.011,0.079,0.093,0.181,0.118,-0.049,-0.075
-0.069,-0.061,0.009,0.065,-0.039,-0.026,0.109,0.122,0.222,0.126,-0.061,-0.083
-0.073,-0.046,0.028,0.06,-0.05,-0.009,0.109,0.113,0.23,0.136,-0.053,-0.079
-0.075,-0.059,0.016,0.067,-0.045,-0.021,0.134,0.16,0.276,0.155,-0.048,-0.08
-0.051,-0.029,0.022,0.039,-0.036,-0.003,0.142,0.166,0.288,0.136,-0.052,-0.08
-0.081,-0.053,0.028,0.067,-0.054,-0.012,0.152,0.176,0.311,0.153,-0.063,-0.094
-0.111,-0.068,0.043,0.089,-0.077,-0.012,0.167,0.199,0.338,0.169,-0.084,-0.102
-0.101,-0.049,0.051,0.074,-0.076,0.001,0.171,0.212,0.348,0.17,-0.112,-0.129
-0.122,-0.042,0.079,0.082,-0.1,0.018,0.207,0.268,0.408,0.171,-0.14,-0.156
-0.136,-0.028,0.109,0.082,-0.122,0.04,0.292,0.316,0.452,0.175,-0.182,-0.166
-0.128,-0.018,0.11,0.073,-0.119,0.046,0.307,0.38,0.515,0.175,-0.23,-0.193
-0.124,-0.013,0.111,0.068,-0.117,0.049,0.248,0.439,0.583,0.178,-0.241,-0.202
-0.111,-0.008,0.102,0.059,-0.106,0.046,0.252,0.433,0.574,0.185,-0.254,-0.196
-0.105,-0.004,0.1,0.054,-0.102,0.048,0.259,0.424,0.574,0.212,-0.214,-0.183
-0.124,-0.029,0.095,0.076,-0.109,0.033,0.231,0.374,0.517,0.221,-0.151,-0.153
-0.081,0.01,0.091,0.035,-0.086,0.05,0.185,0.293,0.425,0.21,-0.085,-0.09
-0.028,0.052,0.079,-0.012,-0.054,0.065,0.134,0.231,0.35,0.198,-0.022,-0.043
-0.018,0.038,0.057,-0.01,-0.038,0.047,0.086,0.162,0.258,0.167,0.014,-0.016
-0.01,0.035,0.046,-0.013,-0.028,0.04,0.046,0.114,0.186,0.129,0.028,0.011
-0.011,0.027,0.038,-0.008,-0.025,0.033,0.032,0.074,0.138,0.098,0.034,0.027
-0.01,0.021,0.031,-0.006,-0.02,0.026,0.028,0.054,0.12,0.083,0.054,0.044
-0.01,0.015,0.024,-0.003,-0.017,0.019,0.023,0.056,0.094,0.076,0.052,0.041
0.01,0.027,0.017,-0.019,-0.004,0.022,0.016,0.054,0.087,0.072,0.046,0.035
0.02,0.031,0.011,-0.026,0.005,0.021,0.011,0.056,0.093,0.068,0.043,0.03
0.025,0.029,0.004,-0.027,0.01,0.016,0.013,0.055,0.087,0.064,0.038,0.023
0.022,0.022,0.0,-0.022,0.01,0.011,0.026,0.054,0.092,0.06,0.035,0.021
0.016,0.023,0.008,-0.02,0.004,0.016,0.033,0.067,0.093,0.062,0.035,0.025
-0.001,0.011,0.013,-0.005,-0.007,0.012,0.028,0.073,0.122,0.071,0.036,0.03
-0.036,-0.019,0.016,0.027,-0.026,-0.002,0.034,0.081,0.135,0.076,0.036,0.025
-0.005,0.022,0.026,-0.009,-0.015,0.024,0.047,0.091,0.133,0.121,0.078,0.018
0.036,0.061,0.025,-0.049,0.006,0.043,0.047,0.1,0.144,0.114,0.061,0.012
0.02,0.059,0.039,-0.04,-0.009,0.049,0.039,0.098,0.139,0.121,0.088,0.044
-0.001,0.033,0.035,-0.016,-0.018,0.034,0.114,0.14,0.178,0.14,0.093,0.055
0.013,0.066,0.053,-0.04,-0.02,0.059,0.084,0.126,0.159,0.132,0.094,0.058
0.035,0.069,0.034,-0.052,0.0,0.051,0.045,0.147,0.199,0.156,0.103,0.063
0.013,0.046,0.034,-0.03,-0.011,0.04,0.041,0.112,0.153,0.111,0.078,0.062
0.012,0.033,0.021,-0.023,-0.005,0.026,0.021,0.16,0.248,0.308,0.187,0.072
0.064,0.133,0.069,-0.099,-0.003,0.1,-0.018,-0.017,-0.041,0.476,0.573,0.236
0.297,0.38,0.082,-0.339,0.108,0.231,-0.735,-1.344,-1.695,0.22,1.701,0.929
0.779,0.294,-0.485,-0.536,0.632,-0.096,-1.352,-2.036,-2.726,-1.176,1.211,1.17
0.654,0.174,-0.48,-0.414,0.567,-0.153,-1.216,-1.779,-2.539,-2.583,-0.763,0.521
0.053,-0.015,-0.069,-0.019,0.061,-0.042,-0.691,-1.264,-1.581,-1.667,-0.892,0.018
-0.057,-0.21,-0.153,0.134,0.048,-0.181,-0.086,-0.249,-0.259,-0.333,-0.312,-0.128
-0.04,-0.076,-0.036,0.058,-0.002,-0.056,0.05,0.056,0.094,0.0,-0.114,-0.076
-0.079,-0.075,0.005,0.077,-0.042,-0.035,0.058,0.048,0.132,0.077,-0.047,-0.061
-0.048,-0.046,0.002,0.047,-0.025,-0.022,0.086,0.117,0.196,0.076,-0.074,-0.059
-0.055,-0.032,0.023,0.043,-0.039,-0.005,0.09,0.104,0.197,0.121,-0.04,-0.055
-0.074,-0.091,-0.017,0.082,-0.028,-0.054,0.099,0.135,0.212,0.108,-0.066,-0.109
-0.064,-0.058,0.005,0.061,-0.034,-0.026,0.088,0.119,0.206,0.126,-0.048,-0.101
-0.063,-0.061,0.001,0.062,-0.032,-0.03,0.111,0.168,0.265,0.147,-0.058,-0.108
-0.072,-0.05,0.022,0.061,-0.047,-0.014,0.114,0.175,0.266,0.142,-0.058,-0.109
-0.058,-0.037,0.021,0.047,-0.039,-0.008,0.12,0.18,0.297,0.153,-0.06,-0.11
-0.109,-0.063,0.047,0.086,-0.078,-0.008,0.122,0.187,0.319,0.16,-0.087,-0.111
-0.123,-0.057,0.065,0.089,-0.094,0.004,0.165,0.226,0.348,0.16,-0.096,-0.107
-0.093,-0.022,0.071,0.057,-0.082,0.024,0.186,0.264,0.39,0.16,-0.138,-0.139
-0.121,-0.029,0.092,0.075,-0.106,0.031,0.248,0.289,0.415,0.159,-0.195,-0.175
-0.14,-0.046,0.094,0.093,-0.117,0.024,0.307,0.39,0.508,0.169,-0.198,-0.19
-0.133,-0.031,0.102,0.082,-0.117,0.035,0.26,0.462,0.595,0.212,-0.204,-0.198
-0.137,-0.023,0.114,0.079,-0.125,0.045,0.247,0.43,0.571,0.216,-0.211,-0.204
-0.125,-0.013,0.112,0.069,-0.119,0.049,0.25,0.391,0.535,0.235,-0.168,-0.177
-0.088,0.01,0.098,0.039,-0.093,0.053,0.223,0.355,0.496,0.254,-0.108,-0.128
-0.073,0.015,0.088,0.028,-0.081,0.052,0.171,0.284,0.396,0.209,-0.055,-0.092
-0.018,0.055,0.073,-0.019,-0.046,0.063,0.116,0.233,0.327,0.178,-0.008,-0.05
-0.038,0.015,0.053,0.011,-0.046,0.034,0.071,0.179,0.245,0.148,0.024,-0.014
-0.054,-0.01,0.044,0.032,-0.049,0.017,0.05,0.123,0.154,0.118,0.036,-0.01
0.0,0.037,0.036,-0.019,-0.018,0.037,0.054,0.083,0.119,0.098,0.044,-0.011
-0.05,-0.023,0.028,0.036,-0.039,0.002,0.042,0.056,0.083,0.078,0.039,-0.006
-0.03,-0.012,0.017,0.021,-0.023,0.002,0.033,0.055,0.064,0.061,0.03,-0.005
0.021,0.029,0.008,-0.026,0.006,0.018,0.023,0.055,0.066,0.047,0.026,-0.005
0.014,0.01,-0.004,-0.012,0.009,0.003,0.016,0.054,0.064,0.05,0.016,-0.011
0.013,-0.007,-0.02,-0.003,0.017,-0.013,0.012,0.056,0.066,0.05,0.017,-0.013
0.001,-0.036,-0.036,0.018,0.019,-0.036,0.003,0.052,0.064,0.05,0.029,-0.009
-0.002,-0.032,-0.031,0.017,0.015,-0.031,0.025,0.064,0.067,0.07,0.035,-0.011
-0.009,-0.022,-0.013,0.016,0.002,-0.017,0.04,0.072,0.073,0.084,0.049,-0.005
-0.01,-0.015,-0.005,0.012,-0.002,-0.01,0.042,0.079,0.084,0.077,0.041,-0.006
-0.012,-0.002,0.01,0.007,-0.011,0.004,0.034,0.071,0.076,0.082,0.05,-0.003
