Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
0.0,0.013,0.052,0.039,-0.033,-0.013,0.046,-0.4185,-0.232,-0.195,-0.161,-0.142,0.033
0.001,0.0145,0.0535,0.0395,-0.0345,-0.0125,0.047,-0.4165,-0.2445,-0.209,-0.1745,-0.1495,0.0205
0.002,0.016,0.0565,0.0405,-0.0365,-0.0125,0.049,-0.4155,-0.243,-0.2085,-0.175,-0.155,0.014
0.003,0.0165,0.0635,0.047,-0.04,-0.0155,0.0555,-0.4125,-0.24,-0.2045,-0.1735,-0.1585,0.0085
0.004,0.009,0.0625,0.0535,-0.036,-0.022,0.0585,-0.4145,-0.2475,-0.214,-0.183,-0.1705,-0.0065
0.005,0.0095,0.06,0.05,-0.035,-0.02,0.055,-0.4145,-0.251,-0.221,-0.192,-0.183,-0.0075
0.006,0.0095,0.046,0.036,-0.028,-0.0135,0.0415,-0.4145,-0.2525,-0.226,-0.1965,-0.171,-0.004
0.007,0.0085,0.034,0.0255,-0.021,-0.0085,0.0295,-0.412,-0.2485,-0.226,-0.1935,-0.165,-0.0035
0.008,0.005,0.031,0.026,-0.018,-0.011,0.029,-0.4085,-0.2515,-0.228,-0.194,-0.169,-0.0015
0.009,-0.003,0.0355,0.0385,-0.0165,-0.021,0.037,-0.4105,-0.2565,-0.234,-0.2,-0.175,-0.0065
0.01,-0.0055,0.0325,0.0375,-0.0135,-0.0215,0.035,-0.411,-0.2565,-0.2365,-0.2045,-0.18,-0.0085
0.011,-0.0045,0.029,0.0335,-0.0125,-0.019,0.0315,-0.41,-0.258,-0.2375,-0.207,-0.181,-0.0105
0.012,-0.006,0.025,0.031,-0.01,-0.0185,0.0285,-0.4085,-0.258,-0.239,-0.2065,-0.1845,-0.014
0.013,-0.011,0.0195,0.0305,-0.0045,-0.021,0.0255,-0.41,-0.2625,-0.2415,-0.2105,-0.1875,-0.0185
0.014,-0.009,0.0305,0.0395,-0.011,-0.0245,0.035,-0.4135,-0.2655,-0.244,-0.215,-0.1945,-0.0235
0.015,-0.008,0.038,0.046,-0.015,-0.027,0.042,-0.418,-0.274,-0.2515,-0.222,-0.201,-0.028
0.016,-0.0035,0.0395,0.0435,-0.018,-0.0235,0.0415,-0.418,-0.274,-0.253,-0.224,-0.199,-0.0275
0.017,-0.007,0.041,0.048,-0.017,-0.0275,0.0445,-0.4125,-0.265,-0.249,-0.222,-0.202,-0.0255
0.018,-0.0135,0.037,0.05,-0.012,-0.0315,0.0435,-0.414,-0.2715,-0.2555,-0.2285,-0.209,-0.0325
0.019,-0.011,0.026,0.037,-0.0075,-0.024,0.0315,-0.4135,-0.274,-0.2605,-0.2335,-0.2075,-0.0325
0.02,-0.022,0.0225,0.045,-0.0005,-0.0335,0.034,-0.411,-0.2775,-0.2635,-0.238,-0.209,-0.035
0.021,-0.023,0.027,0.05,-0.002,-0.0365,0.039,-0.4095,-0.2825,-0.266,-0.2425,-0.2195,-0.0415
0.022,-0.013,0.028,0.041,-0.0075,-0.027,0.035,-0.4095,-0.282,-0.266,-0.243,-0.2225,-0.041
0.023,-0.0095,0.019,0.0285,-0.005,-0.019,0.024,-0.4075,-0.277,-0.263,-0.2405,-0.217,-0.0365
0.024,-0.01,0.011,0.021,-0.001,-0.0155,0.0165,-0.412,-0.2805,-0.2655,-0.243,-0.2205,-0.035
0.025,-0.014,0.0095,0.023,0.002,-0.0185,0.0165,-0.4205,-0.2895,-0.2765,-0.252,-0.2275,-0.042
